domain,batch,file_path,loc,status,reviewer,reviewed_at,findings_count
client_event_integrity,B4,src/app/(app)/hifz/loading.tsx,29,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
client_event_integrity,B4,src/app/(app)/hifz/page.tsx,9,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
client_event_integrity,B4,src/app/(app)/session/page.tsx,26,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
client_event_integrity,B4,src/app/(app)/session/session-client.tsx,1372,reviewed,codex-gpt5,2026-02-25T11:20:58Z,1
client_event_integrity,B4,src/app/(app)/today/page.tsx,96,reviewed,codex-gpt5,2026-02-25T11:20:58Z,1
client_event_integrity,B4,src/app/(app)/today/today-client.tsx,537,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
invariants_contracts,B0,src/app/(app)/today/today-types.ts,48,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/profile/assessment/route.ts,77,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/profile/backfill-range/route.ts,178,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/profile/display/route.ts,41,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/profile/language/route.ts,72,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/profile/learning-lanes/route.ts,28,reviewed,codex-gpt5,2026-02-25T11:20:58Z,1
api_trust_boundary,B3,src/app/api/profile/onboarding-complete/route.ts,14,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/profile/quran-reader-prefs/route.ts,32,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/profile/reminders/route.ts,55,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/profile/start-point/route.ts,176,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/session/complete/route.ts,107,reviewed,codex-gpt5,2026-02-25T11:20:58Z,2
api_trust_boundary,B3,src/app/api/session/start/route.ts,28,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
api_trust_boundary,B3,src/app/api/session/sync/route.ts,186,reviewed,codex-gpt5,2026-02-25T11:20:58Z,1
api_trust_boundary,B3,src/app/api/session/today/route.ts,43,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/engine/checkpoints.ts,15,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/engine/date.ts,42,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/engine/debt.ts,48,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/engine/gates.ts,35,reviewed,codex-gpt5,2026-02-25T11:20:58Z,1
srs_queue_kernel,B1,src/hifzer/engine/mode-manager.ts,36,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/engine/monthly-audit.ts,69,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
coverage_runtime,B6,src/hifzer/engine/policies.test.ts,145,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
coverage_runtime,B6,src/hifzer/engine/queue-builder.test.ts,104,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/engine/queue-builder.ts,206,reviewed,codex-gpt5,2026-02-25T11:20:58Z,2
srs_queue_kernel,B1,src/hifzer/engine/review-allocation.ts,43,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
session_lifecycle,B2,src/hifzer/engine/server.ts,1126,reviewed,codex-gpt5,2026-02-25T11:20:58Z,9
srs_queue_kernel,B1,src/hifzer/engine/transitions.ts,30,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
invariants_contracts,B0,src/hifzer/engine/types.ts,63,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
client_event_integrity,B4,src/hifzer/focus/distraction-free.ts,11,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
client_event_integrity,B4,src/hifzer/focus/server.ts,7,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
client_event_integrity,B4,src/hifzer/local/store.ts,508,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/profile/server.ts,619,reviewed,codex-gpt5,2026-02-25T11:20:58Z,2
persistence_compat_drift,B5,src/hifzer/quran/attribution.ts,29,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/data/surah-index.ts,1386,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/lookup.server.ts,193,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/lookup.test.ts,171,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/lookup.ts,106,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/read-progress.server.ts,408,reviewed,codex-gpt5,2026-02-25T11:20:58Z,1
persistence_compat_drift,B5,src/hifzer/quran/reader-ui-copy.ts,529,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/search.server.test.ts,21,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/search.server.ts,189,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/translation-generator.test.ts,62,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/translation-prefs.ts,27,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/translation.server.test.ts,92,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/translation.server.ts,138,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
persistence_compat_drift,B5,src/hifzer/quran/types.ts,34,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/srs/intervals.ts,26,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
coverage_runtime,B6,src/hifzer/srs/queue.test.ts,53,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/srs/queue.ts,95,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
invariants_contracts,B0,src/hifzer/srs/types.ts,26,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
coverage_runtime,B6,src/hifzer/srs/update.test.ts,68,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
srs_queue_kernel,B1,src/hifzer/srs/update.ts,110,reviewed,codex-gpt5,2026-02-25T11:20:58Z,0
